"year","goal_id","dimension","region_id","value"
"2012","AO","score","133","90.95"
"2012","AO","score","134","83.61"
"2012","AO","score","135","83.8"
"2012","AO","score","136","64.03"
"2012","AO","score","137","84.14"
"2012","AO","score","138","84.82"
"2012","AO","score","139","69.36"
"2012","AO","score","140","77.57"
"2012","AO","score","141","87.12"
"2012","AO","score","143","87.2"
"2012","AO","score","144","NA"
"2012","AO","score","145","84.64"
"2012","AO","score","146","67.7"
"2012","AO","score","147","80.67"
"2012","AO","score","148","46.94"
"2012","AO","score","149","NA"
"2012","AO","score","150","NA"
"2012","AO","score","151","64.17"
"2012","AO","score","152","80.91"
"2012","AO","score","153","79.72"
"2012","AO","score","154","81.72"
"2012","AO","score","155","42.05"
"2012","AO","score","156","60.24"
"2012","AO","score","157","46.94"
"2012","AO","score","158","NA"
"2012","AO","score","159","NA"
"2012","AO","score","161","63.44"
"2012","AO","score","162","76.88"
